y,x,mass,size,ecc,signal,raw_mass,ep,frame,roi,laser_power,mov_name,nuc_fluor,mass_norm,strain,particle,traj_len,pid,corrwideal,sframe,manual_label
736.7837907073554,34.09692913637965,25.03026793962655,0.8130314911355824,0.8586445768125445,8.484755080498465,1038.0,0.05156135790019418,87,70,100,02122019_yQC22_100u10%int480_1,186.0,5.580645161290324,yQC22,26231,2,02122019_yQC22_100u10%int480_1_26231_87,0.053304338964914016,41,False
1139.0200956937801,697.8609569377991,25.12725030924117,0.8649289412230529,0.08314501342757237,6.3295022549307,959.0,0.0661649593765956,87,122,100,02122019_yQC22_100u10%int480_1,175.0,5.48,yQC22,26581,2,02122019_yQC22_100u10%int480_1_26581_87,0.2124579019526483,41,False
227.08438579447326,1188.832469775475,25.158913343608194,0.8015023943089014,0.4589792060298685,8.99667424212414,886.0,0.08905060228588282,103,20,100,02122019_yQC22_100u10%int480_1,166.0,5.337349397590361,yQC22,31017,3,02122019_yQC22_100u10%int480_1_31017_103,0.07807394771767028,42,False
851.8249067284189,505.8740083193962,25.210684516878523,0.8310466503753763,0.6247128220661463,7.799214293269937,863.0,0.08531317072524752,249,93,100,02122019_yQC22_100u10%int480_1,162.5,5.310769230769231,yQC22,72215,2,02122019_yQC22_100u10%int480_1_72215_249,0.13212466136879186,43,False
289.15902376364807,855.0377649325626,25.29262129479353,0.8333140652878427,0.3200764582365226,7.729113174092975,960.0,0.047082234345300164,337,25,100,02122019_yQC22_100u10%int480_1,180.0,5.333333333333333,yQC22,95841,2,02122019_yQC22_100u10%int480_1_95841_337,0.16274695629034272,44,False
395.92217051615927,1241.9827946889816,25.32312120754945,0.8313849627729502,0.3980852377765233,7.819755611757896,845.0,0.09443251223826707,249,35,100,02122019_yQC22_100u10%int480_1,162.0,5.216049382716049,yQC22,71577,2,02122019_yQC22_100u10%int480_1_71577_249,0.1979314416658846,43,False
1572.966522165617,165.9720596145936,25.330031627526267,0.8305277160103418,0.5036469562592941,7.857976460344509,816.0,0.13577253223716204,87,174,100,02122019_yQC22_100u10%int480_1,163.0,5.006134969325153,yQC22,26634,4,02122019_yQC22_100u10%int480_1_26634_87,-0.039635649414586034,41,False
1876.847012054373,1869.9378473112765,25.3348568859088,0.8349006377866109,0.4459434598365154,7.674964980355459,856.0,0.07326736405322927,337,204,100,02122019_yQC22_100u10%int480_1,153.0,5.594771241830065,yQC22,96311,3,02122019_yQC22_100u10%int480_1_96311_337,0.23946803556696306,44,False
1854.8818734161762,1872.9438524715285,25.385472556766768,0.8251015689908866,0.5926540496639764,8.10323071416348,893.0,0.09778034259265693,55,204,100,02122019_yQC22_100u10%int480_1,163.0,5.478527607361963,yQC22,17062,2,02122019_yQC22_100u10%int480_1_17062_55,0.06941175223999384,40,False
1032.0077575550915,306.92097523549717,25.407415465517072,0.8556334529290448,0.5943758732769926,6.8064279528057074,867.0,0.0691969024290965,337,110,100,02122019_yQC22_100u10%int480_1,157.0,5.522292993630574,yQC22,95679,2,02122019_yQC22_100u10%int480_1_95679_337,0.23335717267223735,44,False
943.0053819280521,228.98316180404743,25.466287849298862,0.8542845153535323,0.4648525098988765,6.88093919951628,959.0,0.0661649593765956,87,104,100,02122019_yQC22_100u10%int480_1,184.5,5.197831978319783,yQC22,25999,2,02122019_yQC22_100u10%int480_1_25999_87,0.14275685687996445,41,False
471.04447484420126,1429.7402036783703,25.495530783587537,0.813456517773353,0.2964579409061213,8.624844704659129,947.0,0.07750455805825475,55,45,100,02122019_yQC22_100u10%int480_1,163.0,5.809815950920246,yQC22,16230,3,02122019_yQC22_100u10%int480_1_16230_55,-0.029486079622529318,40,False
179.0299660441426,652.8923174872666,25.51462888911735,0.8133280683028861,0.5089509143080557,8.636636901133736,812.0,0.09581157106002892,337,14,100,02122019_yQC22_100u10%int480_1,150.0,5.413333333333332,yQC22,95828,4,02122019_yQC22_100u10%int480_1_95828_337,0.09758051269349677,44,False
478.1730125788826,1428.107238151709,25.52637214837767,0.8198699242216777,0.5772163064345526,8.367884478778667,830.0,0.10366685694780137,249,45,100,02122019_yQC22_100u10%int480_1,156.0,5.32051282051282,yQC22,71013,4,02122019_yQC22_100u10%int480_1_71013_249,0.24267781266937696,43,False
168.8747270742358,643.8589277049974,25.5583104763515,0.8191478217079202,0.4399150359090742,8.408603540694367,850.0,0.12350949391205684,55,14,100,02122019_yQC22_100u10%int480_1,159.0,5.345911949685536,yQC22,16800,2,02122019_yQC22_100u10%int480_1_16800_55,0.11228539658404038,40,False
943.0369337390127,1644.051639621366,25.62725713209138,0.8417258261832216,0.26887749014261736,7.47028480802765,861.0,0.0713593343977164,337,100,100,02122019_yQC22_100u10%int480_1,163.0,5.2822085889570545,yQC22,96193,4,02122019_yQC22_100u10%int480_1_96193_337,0.07316455989179,44,False
113.8561848930876,217.96689300324746,25.634484350945872,0.8480578153147851,0.6161379229099784,7.198110446990746,968.0,0.05457162880706977,249,6,100,02122019_yQC22_100u10%int480_1,183.0,5.2896174863387975,yQC22,71535,2,02122019_yQC22_100u10%int480_1_71535_249,0.18459485042560572,43,False
1515.130939319774,1246.1193349649761,25.66407790383289,0.8401429374144413,0.4804208763986118,7.549341170884423,879.0,0.06524274562400184,337,166,100,02122019_yQC22_100u10%int480_1,159.0,5.528301886792454,yQC22,96267,2,02122019_yQC22_100u10%int480_1_96267_337,0.17978048273188935,44,False
