sample_id,genotype,condition,rep,pc1_tpm,pc2_tpm,pc3_tpm,pc4_tpm,pc1_est_counts,pc2_est_counts,pc3_est_counts,pc4_est_counts
Project_21044,TL47,ctrl,rep1,0.17019994138561634,0.18318949856507974,0.2821827182164622,0.7588030135389212,0.3375997758528127,0.11015515100453294,0.8632707332280649,1.0
Project_21045,yQC7,ctrl,rep1,0.11728746734655325,0.12181217254323728,0.0,0.545056919511132,0.36736327954776044,0.0,0.2752414166272411,0.5658966414207414
Project_21046,yQC15,ctrl,rep1,0.19937932505526457,0.10947958587967543,0.25823964993841964,0.49065516006423143,0.3006908316640059,0.17833094764519578,0.4118217193855251,0.5183169607599083
Project_21047,yQC16,ctrl,rep1,0.12721650254210992,0.1284554220587495,0.07171831745751078,0.4585615358533309,0.3683657264244711,0.020394195814121496,0.3736126419143104,0.5418527948433336
Project_21048,TL47,gal,rep1,0.023783596533217877,0.6760240304504145,0.31866507183502263,0.6363279520791791,0.7212939883403062,0.34485281932630923,0.14703956400900894,0.9304214208261602
Project_21049,yQC7,gal,rep1,0.10470029860303759,0.3658762412293201,0.1677467556952678,0.42009605545779327,0.5491373737535628,0.2020617174876409,0.2697183319553474,0.4327976150263053
Project_21050,yQC15,gal,rep1,0.06696759872565877,0.5219814112586928,0.3113613796552871,0.4947984057311543,0.6866572762910625,0.3718491608109171,0.377430013889469,0.49837128240563955
Project_21051,yQC16,gal,rep1,0.048846702723385926,0.50284848300051,0.2508956624663812,0.5071885264061519,0.6402796481479234,0.2896719380426085,0.02733935587176317,0.6020515432946507
Project_21052,TL47,ctrl,rep2,0.4917605838760117,0.15007380622673694,0.9999999999999998,1.0,0.03999793922996503,0.7907852201601807,0.8191003112515909,0.637918138998512
Project_21053,yQC7,ctrl,rep2,0.14310422292507544,0.07042630941544864,0.22177797841038052,0.25194237049137025,0.35294256288713205,0.008390170701042643,0.46566794081875934,0.209861073455928
Project_21054,yQC15,ctrl,rep2,0.41221942325502875,0.0,0.9364495984077166,0.35324252416417884,0.1355025474400231,0.48543787902973146,0.3079994110691376,0.046853384712875146
Project_21055,yQC16,ctrl,rep2,0.7020972736288327,0.551948047538002,0.37999157467678757,0.2336186369637995,0.06537784580939698,0.7074545384752373,0.25556500339634325,0.0
Project_21056,TL47,gal,rep2,0.015262489088832015,0.9031165766299549,0.6831973627250886,0.3732419880836657,1.0,0.6451878991932049,0.4697760355415367,0.546316289086613
Project_21057,yQC7,gal,rep2,0.11201040048162195,0.40232078674418936,0.38022547570301757,0.17338422176901963,0.5935909928483853,0.27267418822895045,0.21973957806421351,0.1182640407288521
Project_21058,yQC15,gal,rep2,0.010295759450808045,0.7028975144820836,0.5179581616289906,0.35306128474005855,0.9327497206605251,0.5709737310451457,0.6925211969498125,0.07551055770493781
Project_21059,yQC16,gal,rep2,0.022494006031763297,0.6705955460391185,0.3628960658855341,0.5535229081706746,0.8659743385152656,0.5357821988876295,1.0,0.059678042370875095
Project_21060,TL47,ctrl,rep3,1.0,1.0,0.08113820012252826,0.308283869853727,0.0,1.0,0.0,0.7016031738120636
Project_21061,yQC7,ctrl,rep3,0.185340027693683,0.014952998825687569,0.4198811104187983,0.0,0.3364205763338889,0.029888034453977252,0.28908768908289917,0.13490993682441751
Project_21062,yQC15,ctrl,rep3,0.20413671822789967,0.028409326848130134,0.495171702405386,0.09473651236358677,0.30702318154717717,0.10194335411397842,0.39710388352663506,0.19537982046027383
Project_21063,yQC16,ctrl,rep3,0.3102650752752112,0.10234445205785819,0.5779842504648589,0.23666546204289926,0.23282779649822943,0.2909674577037617,0.420089832753746,0.10281501442201813
Project_21064,TL47,gal,rep3,0.0,0.8149105309725654,0.6140137422384556,0.4188356165963162,0.8802886094759176,0.5137728356382814,0.1992694408376686,0.6004823803862345
Project_21065,yQC7,gal,rep3,0.11709651676529945,0.38152571061247476,0.5276663446834927,0.01431469971815913,0.5930287222467198,0.28229600695658824,0.04134407475605811,0.13146680299922142
Project_21066,yQC15,gal,rep3,0.04155999093367935,0.6713522066632551,0.6743664553445322,0.12393117621458155,0.795874303297226,0.47119476055272186,0.07998228362992266,0.22618916455240431
Project_21067,yQC16,gal,rep3,0.05364761143405056,0.6622298559867901,0.5659364533662514,0.26085789205893006,0.721025088817304,0.43307079061553133,0.02901679398656898,0.3307336853454474
