label,area_cell,intensity_sum_cell,area_nuc,intensity_sum_nuc,channel,im_name,strain
1,7147,121.67974937165445,586,20.224428039143554,0,09182019_hCTD_5,hCTD
2,3914,20.48869816261542,203,3.1665974475491883,0,09182019_hCTD_5,hCTD
3,2755,5.524506186206775,301,2.279906375852905,0,09182019_hCTD_5,hCTD
4,3797,55.70840124793162,374,9.310787658899745,0,09182019_hCTD_5,hCTD
5,4732,72.06282604027604,696,21.12979405487335,0,09182019_hCTD_5,hCTD
6,3863,38.14845862925546,380,6.01196245827623,0,09182019_hCTD_5,hCTD
7,5729,101.05940400773405,669,19.180782500211922,0,09182019_hCTD_5,hCTD
8,4073,42.75903381711827,321,5.91269382662208,0,09182019_hCTD_5,hCTD
9,4533,66.41778357786825,555,14.473255228430503,0,09182019_hCTD_5,hCTD
10,4469,75.49755901364966,441,14.422041016374777,0,09182019_hCTD_5,hCTD
11,6257,80.07453772882567,559,12.275784323162924,0,09182019_hCTD_5,hCTD
12,5009,62.224199604110446,452,10.768719148201477,0,09182019_hCTD_5,hCTD
13,5220,99.84959385045033,620,24.684517633638343,0,09182019_hCTD_5,hCTD
14,4807,79.86559279838181,393,11.919684116362529,0,09182019_hCTD_5,hCTD
15,3117,27.280760109584204,402,5.965040677562721,0,09182019_hCTD_5,hCTD
16,5277,86.68553345138758,604,15.109783930648753,0,09182019_hCTD_5,hCTD
17,4146,64.5381761879172,387,9.409276601575321,0,09182019_hCTD_5,hCTD
18,4156,51.69329130581596,397,8.836867625245132,0,09182019_hCTD_5,hCTD
19,4227,62.443029495371874,800,25.310528502905512,0,09182019_hCTD_5,hCTD
20,5391,101.12502429837437,505,17.418017666433673,0,09182019_hCTD_5,hCTD
22,3994,66.37278683464699,523,20.250616180391127,0,09182019_hCTD_5,hCTD
23,4456,76.02883917569636,467,15.316521709852458,0,09182019_hCTD_5,hCTD
24,4209,69.34630254166441,426,14.230393738775499,0,09182019_hCTD_5,hCTD
25,5008,55.47589515894397,413,8.708931197254199,0,09182019_hCTD_5,hCTD
26,5138,81.87486213542577,720,22.47266756114442,0,09182019_hCTD_5,hCTD
27,6122,86.2796448756584,556,13.172030617657539,0,09182019_hCTD_5,hCTD
28,4169,53.55180963471619,531,10.608150335085853,0,09182019_hCTD_5,hCTD
29,2062,25.387922165688142,199,5.181640341236788,0,09182019_hCTD_5,hCTD
30,3313,37.352504597887545,373,6.407865717787992,0,09182019_hCTD_5,hCTD
31,4327,58.24700957337438,463,13.230731693231746,0,09182019_hCTD_5,hCTD
32,5928,99.87876451912061,860,27.454072618028846,0,09182019_hCTD_5,hCTD
33,4476,50.902796858517846,321,5.864500589177116,0,09182019_hCTD_5,hCTD
1,7147,155.364311200956,586,26.71076652321674,1,09182019_hCTD_5,hCTD
2,3914,59.74145506715084,203,6.1047565087433995,1,09182019_hCTD_5,hCTD
3,2755,13.734536886643173,301,5.924157213896949,1,09182019_hCTD_5,hCTD
