mov_name,date,strain,num_spots,frac_cells
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_3_w2GFPlow,3052019,yQC21,5,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_3_w2GFPlow,3052019,yQC21,6,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_3_w2GFPlow,3052019,yQC21,7,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_3_w2GFPlow,3052019,yQC21,8,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_3_w2GFPlow,3052019,yQC21,9,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_4_w2GFPlow,3052019,yQC21,1,0.9767441860465116
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_4_w2GFPlow,3052019,yQC21,2,0.023255813953488372
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_4_w2GFPlow,3052019,yQC21,3,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_4_w2GFPlow,3052019,yQC21,4,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_4_w2GFPlow,3052019,yQC21,5,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_4_w2GFPlow,3052019,yQC21,6,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_4_w2GFPlow,3052019,yQC21,7,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_4_w2GFPlow,3052019,yQC21,8,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_4_w2GFPlow,3052019,yQC21,9,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_5_w2GFPlow,3052019,yQC21,1,0.9781659388646288
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_5_w2GFPlow,3052019,yQC21,2,0.021834061135371178
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_5_w2GFPlow,3052019,yQC21,3,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_5_w2GFPlow,3052019,yQC21,4,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_5_w2GFPlow,3052019,yQC21,5,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_5_w2GFPlow,3052019,yQC21,6,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_5_w2GFPlow,3052019,yQC21,7,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_5_w2GFPlow,3052019,yQC21,8,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_5_w2GFPlow,3052019,yQC21,9,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_6_w2GFPlow,3052019,yQC21,1,0.9479768786127167
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_6_w2GFPlow,3052019,yQC21,2,0.05202312138728324
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_6_w2GFPlow,3052019,yQC21,3,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_6_w2GFPlow,3052019,yQC21,4,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_6_w2GFPlow,3052019,yQC21,5,0.0
