time_postinduction,mov_name,strain,no_TS,no_cells,frac_active,thresh,rep,date,CTDr
32.63333333333333,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_4,yQC23,127,220,0.5772727272727273,4,4.0,03052019,12
32.63333333333333,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_5,yQC21,110,154,0.7142857142857143,4,5.0,05232019,26
33.05,03272019_yQC63TL174_255u100%int480_150msExp_30-50minPosGal_3,yQC63,5,109,0.045871559633027525,4,3.0,03272019,9
33.11666666666667,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_5,yQC26,45,89,0.5056179775280899,4,5.0,05222019,101
33.18333333333333,03062019_yQC26_255u100%int480_150msExp_30-50minPosGal_3,yQC26,38,95,0.4,4,3.0,03062019,101
33.18333333333333,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_5,yQC63,7,155,0.04516129032258064,4,5.0,05222019,9
33.31666666666667,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_5,yQC22,52,100,0.52,4,5.0,05222019,14
33.4,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_6,yQC21,104,139,0.7482014388489209,4,6.0,05232019,26
33.45,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_5,yQC62,10,122,0.08196721311475409,4,5.0,05222019,10
33.516666666666666,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_5,yQC23,77,133,0.5789473684210527,4,5.0,05222019,12
33.63333333333333,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_5,yQC23,151,234,0.6452991452991453,4,5.0,03052019,12
33.7,03132019_yQC62_255u100%int480_150msExp_30-50minPosGal_4,yQC62,12,92,0.13043478260869565,4,4.0,03132019,10
33.78333333333333,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_6,yQC63,4,135,0.02962962962962963,4,6.0,05222019,9
33.8,03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_6,yQC21,194,241,0.8049792531120332,4,6.0,03052019,26
33.88333333333333,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_6,yQC26,38,100,0.38,4,6.0,05222019,101
34.166666666666664,03272019_yQC63TL174_255u100%int480_150msExp_30-50minPosGal_4,yQC63,11,101,0.10891089108910891,4,4.0,03272019,9
34.18333333333334,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_6,yQC22,49,95,0.5157894736842106,4,6.0,05222019,14
34.21666666666667,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_7,yQC21,77,108,0.7129629629629629,4,7.0,05232019,26
34.35,03052019_yQC22_255u100%int480_150msExp_30-50minPosGal_4,yQC22,108,161,0.6708074534161491,4,4.0,03052019,14
