prob_thresh,f1score_False,f1score_True
0.1,0.9598214285714286,0.7926267281105991
0.11,0.9616755793226381,0.7999999999999999
0.12000000000000001,0.9621380846325167,0.8018648018648019
0.13,0.9630618602581219,0.8056206088992974
0.14,0.9644444444444445,0.8113207547169811
0.15000000000000002,0.9667405764966742,0.8210023866348449
0.16,0.9690265486725664,0.8309178743961353
0.17,0.9694825298540468,0.8329297820823244
0.18,0.970419426048565,0.8361858190709046
0.19,0.969991173874669,0.8333333333333331
0.2,0.9700176366843033,0.8325123152709359
0.21000000000000002,0.9704715733803437,0.8345679012345679
0.22,0.9713782474680758,0.8387096774193549
0.23,0.971830985915493,0.8407960199004976
0.24000000000000002,0.9731868131868131,0.8471177944862155
0.25,0.9736379613356766,0.8492462311557788
0.26,0.9749890302764371,0.8556962025316456
0.27,0.9758877685225777,0.8600508905852416
0.28,0.9768052516411379,0.8637532133676091
0.29000000000000004,0.9772528433945756,0.865979381443299
0.30000000000000004,0.9781468531468532,0.8704663212435233
0.31,0.9781659388646289,0.8697916666666666
0.32,0.9777389786119598,0.8668407310704961
0.33,0.9786492374727669,0.870712401055409
0.33999999999999997,0.9786492374727669,0.870712401055409
0.35,0.978667827601219,0.8700265251989391
0.36,0.9778164419312744,0.864
0.37,0.9773913043478261,0.8609625668449198
0.38,0.9778357235984354,0.8632707774798928
0.39,0.9791666666666666,0.8702702702702703
0.4,0.9796095444685466,0.872628726287263
0.41000000000000003,0.9800520381613183,0.875
0.42000000000000004,0.9800520381613183,0.875
0.43000000000000005,0.9804941482444733,0.8773841961852861
0.44000000000000006,0.9813772195755739,0.8821917808219178
0.45000000000000007,0.9822587624405019,0.8870523415977961
0.45999999999999996,0.9826989619377162,0.8895027624309392
0.47,0.9835782195332756,0.8944444444444444
0.48,0.9840172786177106,0.8969359331476324
0.49,0.983606557377049,0.893258426966292
0.5,0.983606557377049,0.893258426966292
0.51,0.9840448469167745,0.895774647887324
0.52,0.9844961240310077,0.8977272727272727
0.53,0.9844961240310077,0.8977272727272727
0.54,0.9840723202755057,0.8945868945868946
0.55,0.983225806451613,0.8882521489971346
0.56,0.9823807477438762,0.8818443804034581
0.5700000000000001,0.9823807477438762,0.8818443804034581
0.58,0.9819587628865979,0.8786127167630059
0.59,0.9811158798283262,0.872093023255814
0.6,0.9811158798283262,0.872093023255814
0.61,0.9806949806949807,0.868804664723032
0.62,0.9794344473007711,0.8588235294117647
0.63,0.9794344473007711,0.8588235294117647
0.64,0.9794344473007711,0.8588235294117647
0.65,0.9785958904109588,0.8520710059171598
0.66,0.9785958904109588,0.8520710059171598
0.67,0.9777777777777777,0.844311377245509
0.6799999999999999,0.9777777777777777,0.844311377245509
0.69,0.9773601025202905,0.8408408408408409
0.7,0.977796754910333,0.8433734939759038
0.71,0.9769624573378838,0.8363636363636364
0.72,0.9748829289059173,0.8184615384615385
0.73,0.9749042960442365,0.8173374613003096
0.74,0.9740756481087973,0.809968847352025
0.75,0.9736618521665252,0.80625
0.76,0.9732484076433121,0.8025078369905956
0.77,0.9728353140916809,0.7987421383647798
0.78,0.9720101781170483,0.7911392405063291
0.79,0.9703640982218458,0.7756410256410257
0.8,0.9699534490055015,0.7717041800643087
0.8099999999999999,0.9691331923890063,0.7637540453074434
0.82,0.969159273341783,0.762214983713355
0.83,0.9683410721823554,0.7540983606557377
0.84,0.9683677773091522,0.7524752475247525
0.85,0.9683677773091522,0.7524752475247525
0.86,0.9663582842724978,0.7297297297297297
0.87,0.9659806803863923,0.7235494880546075
0.88,0.9643605870020965,0.7058823529411764
0.89,0.9623430962343097,0.6830985915492959
0.9,0.9615705931495404,0.6714285714285714
0.91,0.9595664860358482,0.6472727272727273
0.92,0.9596001665972511,0.6446886446886446
0.93,0.9572081429164935,0.6142322097378278
0.94,0.9556200746578184,0.5931558935361216
0.95,0.9540372670807453,0.5714285714285715
0.96,0.9524989673688559,0.5454545454545454
0.97,0.9505358615004122,0.5161290322580645
0.98,0.9466338259441708,0.45378151260504207
0.99,0.9393075356415479,0.319634703196347
