var_p_val,ctd,bs_dev,active_cells_frac
0.1,0.1,8.214232367357171,0.9882962962962959
0.1,0.2,15.6434298212645,0.9988888888888889
0.1,0.30000000000000004,23.84932362779417,0.9985925925925926
0.1,0.4,31.422739913143236,0.9992592592592593
0.1,0.5,38.74217287589085,0.9996296296296296
0.1,0.6,45.893630098708286,1.0
0.1,0.7000000000000001,53.1857888985172,0.9996296296296296
0.1,0.8,59.36595472974344,0.9983703703703702
0.1,0.9,64.46939249229939,0.9993333333333333
0.6,0.1,1.7790163049225711,0.635185185185185
0.6,0.2,3.023772348600706,0.8074814814814816
0.6,0.30000000000000004,4.0652406205293365,0.8909629629629633
0.6,0.4,4.788015009104624,0.9148148148148141
0.6,0.5,5.739824995978388,0.9404444444444444
0.6,0.6,6.126723309696394,0.951555555555555
0.6,0.7000000000000001,6.209856804316088,0.9669629629629627
0.6,0.8,5.338711900571397,0.9767407407407414
0.6,0.9,-2.971821955054871,0.9874814814814815
1.1,0.1,1.0562691396721413,0.40903703703703725
1.1,0.2,1.224697243548495,0.6082222222222222
1.1,0.30000000000000004,1.5799638771816964,0.7116296296296295
1.1,0.4,1.8783791503181595,0.764222222222222
1.1,0.5,1.809554061708825,0.8099259259259256
1.1,0.6,1.5538081533146801,0.8368888888888888
1.1,0.7000000000000001,0.8474828567814647,0.8784444444444441
1.1,0.8,-1.2081481369456668,0.8897777777777779
1.1,0.9,-10.55096459373433,0.9336296296296294
1.6,0.1,0.7513819569933136,0.3189629629629631
1.6,0.2,0.5902850055511264,0.48859259259259263
1.6,0.30000000000000004,0.5345700644893356,0.5829629629629628
1.6,0.4,0.48699673050266234,0.6420740740740744
1.6,0.5,0.30478893178167166,0.6859259259259259
1.6,0.6,-0.33364797696201176,0.7328148148148148
1.6,0.7000000000000001,-1.5520643401953427,0.7619259259259261
1.6,0.8,-3.9596998201448734,0.8148148148148149
1.6,0.9,-13.663587852290444,0.8676296296296299
2.1,0.1,0.6015986774621385,0.2553333333333334
2.1,0.2,0.2592456347801111,0.4048888888888887
2.1,0.30000000000000004,-0.08578112195044119,0.49251851851851836
2.1,0.4,-0.27184354645995334,0.5534814814814817
2.1,0.5,-0.788708656682549,0.6040740740740741
2.1,0.6,-1.3734902299647311,0.6520740740740738
2.1,0.7000000000000001,-2.5891911372618592,0.6943703703703702
2.1,0.8,-5.317077390593476,0.7292592592592592
2.1,0.9,-15.126474270112844,0.8199259259259256
2.6,0.1,0.470111066185962,0.22466666666666668
2.6,0.2,0.061415916460033415,0.3498518518518519
2.6,0.30000000000000004,-0.4380744175695579,0.4350370370370372
2.6,0.4,-0.8668842917289061,0.5014814814814815
2.6,0.5,-1.5182082949733497,0.5506666666666666
2.6,0.6,-2.247857399712605,0.5855555555555557
2.6,0.7000000000000001,-3.6103634369631576,0.618962962962963
2.6,0.8,-6.131553316781713,0.6818518518518516
2.6,0.9,-16.522438510492673,0.7891111111111108
3.1,0.1,0.38236667674850766,0.19192592592592592
3.1,0.2,-0.14866546864376917,0.32162962962962943
3.1,0.30000000000000004,-0.6939882894536695,0.3876296296296295
3.1,0.4,-1.3926683261352042,0.4588888888888888
3.1,0.5,-2.053381731013757,0.5007407407407405
3.1,0.6,-2.926035319072657,0.528222222222222
3.1,0.7000000000000001,-4.4496072149248125,0.5843703703703703
3.1,0.8,-6.913343745826931,0.6563703703703703
3.1,0.9,-16.575744457077953,0.7534814814814813
3.6,0.1,0.3714895398120186,0.16555555555555557
3.6,0.2,-0.2634006606441308,0.2772592592592592
3.6,0.30000000000000004,-0.8491271706230208,0.3542222222222223
3.6,0.4,-1.498779370948638,0.400814814814815
3.6,0.5,-2.287208088610195,0.4499999999999999
3.6,0.6,-3.314396832066671,0.4975555555555554
3.6,0.7000000000000001,-4.737852948258279,0.5456296296296297
3.6,0.8,-7.981217471672624,0.5929629629629629
3.6,0.9,-17.97283726937353,0.7274814814814816
4.1,0.1,0.3458607449887463,0.14259259259259263
4.1,0.2,-0.312902781135028,0.24837037037037055
4.1,0.30000000000000004,-0.9894363410718405,0.3173333333333333
4.1,0.4,-1.6767766511497855,0.37525925925925924
4.1,0.5,-2.6456044606787366,0.42903703703703694
4.1,0.6,-3.6067441642292573,0.46562962962962984
4.1,0.7000000000000001,-5.047914571188041,0.508666666666667
4.1,0.8,-7.9908288546879245,0.5677777777777778
4.1,0.9,-17.711447686261025,0.6977777777777776
4.6,0.1,0.2807337983344156,0.13740740740740745
4.6,0.2,-0.4027652913799957,0.2256296296296296
4.6,0.30000000000000004,-1.026074457067999,0.2970370370370371
4.6,0.4,-1.9316895900842566,0.35614814814814816
4.6,0.5,-2.877187190208109,0.39829629629629626
4.6,0.6,-3.65790092940063,0.4315555555555555
4.6,0.7000000000000001,-5.284840645837956,0.4793333333333333
4.6,0.8,-8.357527213293825,0.5379259259259256
4.6,0.9,-19.411529059397743,0.6724444444444444
