PC,explained_variance_tpm,explained_variance_estcounts
pc1,0.7172312907110918,0.6995257914344177
pc2,0.1511512863901329,0.1809041643913728
pc3,0.05223433847656327,0.04152944285249417
pc4,0.022321318612124028,0.022264227506394847
